City,Sex,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Transgender,Transgender,Transgender,Transgender,Transgender,Transgender
,Age,below 14 years,14 and above -below 18 years,18 and above -below 30 years,30 and above -below 45 years,45 and above -below 60 years,60 years & above,below 14 years,14 and above -below 18 years,18 and above -below 30 years,30 and above -below 45 years,45 and above -below 60 years,60 years & above,below 14 years,14 and above - below 18 years,18 and above - below 30 years,30 and above - below 45 years,45 and above - below 60 years,60 years & above
Agra,,0,1,41,26,7,0,0,1,38,13,2,0,0,0,0,0,0,0
Ahmedabad,,2,16,207,199,68,47,5,29,96,60,22,12,0,0,0,0,0,0
Allahabad,,0,3,13,5,1,0,0,6,3,0,0,0,0,0,0,0,0,0
Amritsar,,0,0,21,26,7,1,0,2,9,10,1,1,0,0,0,0,0,0
Asansol,,4,8,107,108,81,43,4,23,48,22,11,10,0,0,0,0,0,0
Aurangabad,,3,7,64,105,40,13,2,8,22,12,5,2,0,0,0,0,0,0
Bengaluru,,10,47,505,544,230,88,11,64,338,146,64,32,0,0,1,1,0,0
Bhopal,,0,17,85,81,41,17,1,22,63,18,7,1,0,0,0,0,0,0
Chandigarh City,,1,5,35,37,9,6,2,6,16,7,6,1,0,0,0,0,0,0
Chennai,,5,25,494,696,459,148,3,49,264,183,81,52,0,0,2,0,0,0
Coimbatore,,1,8,80,103,64,7,1,5,30,24,12,3,0,0,0,0,0,0
Delhi (City),,27,87,695,604,214,66,25,112,369,164,42,18,0,0,0,0,0,0
Dhanbad,,7,35,36,42,26,0,6,39,40,18,8,0,0,0,0,0,0,0
Durg-Bhilainagar,,5,10,103,80,39,23,1,18,53,26,8,10,0,0,0,0,0,0
Faridabad,,5,11,127,27,14,3,3,3,60,9,3,0,0,0,0,0,0,0
Ghaziabad,,0,1,41,46,4,2,0,3,23,11,1,0,0,0,0,0,0,0
Gwalior,,1,2,94,62,21,6,0,12,78,10,9,0,0,0,0,0,0,0
Hyderabad,,0,14,97,85,57,23,2,18,27,33,20,13,0,0,0,0,0,0
Indore,,3,11,186,153,65,18,2,28,92,45,10,5,0,0,0,0,0,0
Jabalpur,,0,0,64,76,52,20,0,0,27,35,21,7,0,0,0,0,0,0
Jaipur,,2,15,127,109,52,6,1,12,63,41,9,4,0,0,0,0,0,0
Jamshedpur,,0,10,22,17,14,5,2,5,25,7,1,0,0,0,0,0,0,0
Jodhpur,,0,2,24,37,27,13,0,2,9,12,11,8,0,0,0,0,0,0
Kannur,,0,0,9,43,31,23,0,2,7,7,6,20,0,0,0,0,0,0
Kanpur,,0,3,98,143,70,8,0,3,118,46,3,0,0,0,0,0,0,0
Kochi,,0,2,38,51,64,23,0,5,7,13,9,10,0,0,0,0,0,0
Kolkata,,0,15,32,34,24,7,0,7,29,22,10,1,0,0,0,0,0,0
Kollam,,2,14,69,101,100,77,3,7,25,17,22,20,0,0,0,0,0,0
Kota,,0,9,34,35,12,7,0,5,12,16,5,1,0,0,0,0,0,0
Kozhikode,,1,3,24,49,62,41,0,5,17,9,20,27,0,0,0,0,0,0
Lucknow,,4,7,76,56,16,2,0,10,55,18,9,1,0,0,0,0,0,0
Ludhiana,,0,6,64,85,28,6,2,9,30,16,5,2,0,0,1,0,0,0
Madurai,,0,4,77,85,40,19,3,10,51,38,12,5,0,0,0,1,0,0
Malappuram,,2,3,17,20,23,11,1,3,7,6,4,4,0,0,0,0,0,0
Meerut,,0,2,12,7,5,1,0,0,9,1,0,1,0,0,0,0,0,0
Mumbai,,9,40,280,292,143,69,13,48,164,113,35,23,0,0,0,0,0,0
Nagpur,,0,8,146,201,122,48,2,10,37,34,21,7,0,0,0,0,0,0
Nasik,,0,3,91,108,44,20,0,7,47,29,10,7,0,0,0,0,0,0
Patna,,0,12,13,6,4,0,0,22,30,4,1,0,0,0,0,0,0,0
Pune,,6,21,171,210,88,40,4,21,84,51,14,9,0,0,0,0,0,0
Raipur,,0,11,96,87,45,10,1,10,39,22,6,5,0,0,0,0,0,0
Rajkot,,0,0,122,102,34,7,0,0,62,62,27,0,0,0,0,0,0,0
Ranchi,,3,16,16,11,1,0,0,5,5,0,0,0,0,0,0,0,0,0
Srinagar,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Surat,,5,17,198,191,89,41,6,34,111,70,19,14,0,0,0,0,0,0
Thiruvananthapuram,,1,7,51,99,80,33,2,3,12,17,18,8,0,0,0,0,0,0
Thrissur,,3,3,35,72,106,90,1,1,17,22,21,34,0,0,0,0,0,0
Tiruchirapalli,,1,7,45,52,30,10,1,4,15,15,7,1,0,0,0,0,0,0
Vadodara,,1,7,48,65,28,10,3,5,26,19,3,2,0,0,1,0,0,0
Varanasi,,1,0,7,9,11,1,1,0,10,7,2,0,0,0,0,0,0,0
Vasai Virar,,3,14,51,60,30,7,0,13,43,23,6,4,0,0,0,0,0,0
Vijayawada,,2,13,75,81,29,4,1,4,27,26,3,2,0,0,0,0,0,0
Vishakhapatnam,,0,9,58,81,33,6,2,9,50,18,13,1,0,0,0,0,0,0
India,,120,591,5321,5705,2984,1176,117,729,2939,1648,665,388,0,0,5,2,0,0
